word,Pleasantness,P_Deviation,Activation,A_Deviation,Imagery,I_Deviation,Words found from dictionary
crossroads,1.55560,0.29440,1.91670,0.24670,2.80000,1.28000,1
crouched,1.50000,0.35000,1.54550,0.12450,2.20000,0.68000,1
crowd,1.37500,0.47500,2.00000,0.33000,3.00000,1.48000,1
crowded,1.66670,0.18330,2.11110,0.44110,2.60000,1.08000,1
crowds,1.50000,0.35000,1.88890,0.21890,2.80000,1.28000,1
crown,2.57140,0.72140,1.40000,0.27000,3.00000,1.48000,1
crucial,1.22220,0.62780,1.83330,0.16330,1.20000,0.32000,1
crude,1.28570,0.56430,1.50000,0.17000,1.00000,0.52000,1
cruel,1.25000,0.60000,1.54550,0.12450,2.00000,0.48000,1
cruelty,1.22220,0.62780,2.33330,0.66330,1.80000,0.28000,1
crushed,1.44440,0.40560,2.16670,0.49670,1.40000,0.12000,1
cry,1.42860,0.42140,2.40000,0.73000,3.00000,1.48000,1
crying,1.42860,0.42140,2.70000,1.03000,2.80000,1.28000,1
crystal,2.11110,0.26110,1.50000,0.17000,3.00000,1.48000,1
cub,1.25000,0.60000,1.42860,0.24140,2.60000,1.08000,1
cub�s,0.00000,1.85000,0.00000,1.67000,0.00000,1.52000,0
cuba,1.75000,0.10000,1.63640,0.03360,2.80000,1.28000,1
cuban,1.57140,0.27860,1.60000,0.07000,2.60000,1.08000,1
cubic,1.57140,0.27860,1.50000,0.17000,2.00000,0.48000,1
cuddle,2.42860,0.57860,1.90000,0.23000,3.00000,1.48000,1
cuddles,2.60000,0.75000,2.30770,0.63770,3.00000,1.48000,1
cuddling,2.40000,0.55000,2.46150,0.79150,3.00000,1.48000,1
cult,1.40000,0.45000,1.75000,0.08000,2.40000,0.88000,1
cultivated,1.25000,0.60000,1.57140,0.09860,2.00000,0.48000,1
cultural,2.00000,0.15000,1.50000,0.17000,1.80000,0.28000,1
culture,2.09090,0.24090,1.92860,0.25860,2.60000,1.08000,1
cultures,2.20000,0.35000,1.75000,0.08000,2.80000,1.28000,1
cumulative,1.66670,0.18330,1.44440,0.22560,1.00000,0.52000,1
cup,1.66670,0.18330,1.44440,0.22560,3.00000,1.48000,1
cups,1.60000,0.25000,1.37500,0.29500,2.80000,1.28000,1
curb,1.77780,0.07220,1.50000,0.17000,3.00000,1.48000,1
curdles,1.37500,0.47500,1.63640,0.03360,1.40000,0.12000,1
cure,2.55560,0.70560,2.00000,0.33000,2.00000,0.48000,1
curiosity,2.14290,0.29290,2.30000,0.63000,1.60000,0.08000,1
curious,2.20000,0.35000,2.07690,0.40690,1.40000,0.12000,1
curiously,2.12500,0.27500,2.18180,0.51180,1.40000,0.12000,1
curled,1.85710,0.00710,1.90000,0.23000,2.20000,0.68000,1
currency,1.62500,0.22500,1.54550,0.12450,2.80000,1.28000,1
current,2.11110,0.26110,1.75000,0.08000,2.00000,0.48000,1
currently,1.66670,0.18330,1.55560,0.11440,1.20000,0.32000,1
curriculum,1.85710,0.00710,1.40000,0.27000,2.00000,0.48000,1
curs,1.28570,0.56430,1.60000,0.07000,1.00000,0.52000,1
curse,1.25000,0.60000,2.18180,0.51180,2.20000,0.68000,1
cursed,1.22220,0.62780,1.91670,0.24670,2.00000,0.48000,1
curt,1.87500,0.02500,1.27270,0.39730,1.00000,0.52000,1
curtain,1.60000,0.25000,1.37500,0.29500,3.00000,1.48000,1
curve,1.50000,0.35000,1.55560,0.11440,3.00000,1.48000,1
curves,1.83330,0.01670,1.44440,0.22560,3.00000,1.48000,1
custom,1.60000,0.25000,1.37500,0.29500,2.00000,0.48000,1
customary,1.88890,0.03890,1.58330,0.08670,1.00000,0.52000,1
customer,1.50000,0.35000,1.55560,0.11440,3.00000,1.48000,1
customers,1.83330,0.01670,1.55560,0.11440,3.00000,1.48000,1
customs,1.71430,0.13570,1.50000,0.17000,2.40000,0.88000,1
cut,1.50000,0.35000,1.88890,0.21890,3.00000,1.48000,1
cutoff,1.44440,0.40560,1.66670,0.00330,1.80000,0.28000,1
cuts,1.44440,0.40560,2.00000,0.33000,2.60000,1.08000,1
cutting,1.42860,0.42140,2.10000,0.43000,3.00000,1.48000,1
cyanide,1.42860,0.42140,1.60000,0.07000,2.40000,0.88000,1
cycle,2.00000,0.15000,2.00000,0.33000,2.40000,0.88000,1
cylinder,1.66670,0.18330,1.33330,0.33670,3.00000,1.48000,1
cylindrical,1.40000,0.45000,1.25000,0.42000,2.40000,0.88000,1
dad,2.58330,0.73330,2.13330,0.46330,3.00000,1.48000,1
dad�s,0.00000,1.85000,0.00000,1.67000,0.00000,1.52000,0
daily,1.85710,0.00710,1.70000,0.03000,1.80000,0.28000,1
dairy,2.00000,0.15000,1.81820,0.14820,2.80000,1.28000,1
damage,1.50000,0.35000,2.22220,0.55220,2.80000,1.28000,1
damn,1.40000,0.45000,1.87500,0.20500,1.20000,0.32000,1
damned,1.50000,0.35000,2.00000,0.33000,1.00000,0.52000,1
damp,1.11110,0.73890,1.16670,0.50330,2.20000,0.68000,1
dance,2.28570,0.43570,2.30000,0.63000,3.00000,1.48000,1
danced,2.28570,0.43570,2.60000,0.93000,2.60000,1.08000,1
dancer,2.16670,0.31670,2.33330,0.66330,3.00000,1.48000,1
dancers,2.40000,0.55000,2.38460,0.71460,3.00000,1.48000,1
dances,2.33330,0.48330,2.44440,0.77440,2.60000,1.08000,1
dancing,2.40000,0.55000,2.69230,1.02230,2.80000,1.28000,1
dandy,2.28570,0.43570,1.50000,0.17000,1.00000,0.52000,1
danger,1.33330,0.51670,2.44440,0.77440,2.60000,1.08000,1
dangerous,1.40000,0.45000,2.61540,0.94540,1.80000,0.28000,1
dangers,1.33330,0.51670,2.44440,0.77440,2.00000,0.48000,1
dare,1.33330,0.51670,2.44440,0.77440,1.60000,0.08000,1
dared,1.50000,0.35000,2.18180,0.51180,1.60000,0.08000,1
daren�t,0.00000,1.85000,0.00000,1.67000,0.00000,1.52000,0
daresay,1.54550,0.30450,1.71430,0.04430,1.20000,0.32000,1
daring,1.85710,0.00710,2.30000,0.63000,1.40000,0.12000,1
dark,1.44440,0.40560,1.50000,0.17000,3.00000,1.48000,1
darkness,1.14290,0.70710,1.70000,0.03000,2.80000,1.28000,1
darling,1.85710,0.00710,1.70000,0.03000,2.00000,0.48000,1
darned,1.50000,0.35000,1.14290,0.52710,1.20000,0.32000,1
darning,1.22220,0.62780,1.83330,0.16330,1.20000,0.32000,1
dart,1.66670,0.18330,1.44440,0.22560,3.00000,1.48000,1
dart�s,0.00000,1.85000,0.00000,1.67000,0.00000,1.52000,0
dash,1.50000,0.35000,2.33330,0.66330,2.20000,0.68000,1
data,1.70000,0.15000,1.61540,0.05460,2.60000,1.08000,1
date,2.33330,0.48330,2.16670,0.49670,3.00000,1.48000,1
dated,2.14290,0.29290,1.70000,0.03000,2.60000,1.08000,1
dates,2.57140,0.72140,1.80000,0.13000,2.80000,1.28000,1
daughter,2.33330,0.48330,1.77780,0.10780,3.00000,1.48000,1
daughters,2.60000,0.75000,1.76920,0.09920,3.00000,1.48000,1
dawn,2.16670,0.31670,1.44440,0.22560,2.60000,1.08000,1
dawned,1.85710,0.00710,2.00000,0.33000,1.20000,0.32000,1
day,2.44440,0.59440,1.58330,0.08670,2.60000,1.08000,1
day�s,0.00000,1.85000,0.00000,1.67000,0.00000,1.52000,0
daydream,2.75000,0.90000,1.72730,0.05730,2.40000,0.88000,1
daylight,2.66670,0.81670,1.66670,0.00330,3.00000,1.48000,1
days,2.16670,0.31670,1.77780,0.10780,2.60000,1.08000,1
daytime,2.42860,0.57860,1.80000,0.13000,2.80000,1.28000,1
dazzle,2.33330,0.48330,2.33330,0.66330,1.60000,0.08000,1
dead,1.44440,0.40560,1.50000,0.17000,3.00000,1.48000,1
deadlock,1.60000,0.25000,1.45450,0.21550,2.00000,0.48000,1
deadly,1.36360,0.48640,2.00000,0.33000,2.80000,1.28000,1
deaf,1.54550,0.30450,1.45450,0.21550,2.40000,0.88000,1
deal,1.77780,0.07220,2.30000,0.63000,2.00000,0.48000,1
dealer,1.66670,0.18330,2.00000,0.33000,2.80000,1.28000,1
dealers,1.54550,0.30450,2.33330,0.66330,2.60000,1.08000,1
dealing,1.83330,0.01670,2.57140,0.90140,2.20000,0.68000,1
deals,1.91670,0.06670,2.23080,0.56080,2.00000,0.48000,1
dealt,2.10000,0.25000,2.09090,0.42090,1.60000,0.08000,1
dean,1.77780,0.07220,1.80000,0.13000,2.00000,0.48000,1
dear,2.33330,0.48330,1.70000,0.03000,1.60000,0.08000,1
dears,2.11110,0.26110,1.70000,0.03000,1.40000,0.12000,1
death,1.66670,0.18330,1.38460,0.28540,2.60000,1.08000,1
debate,1.75000,0.10000,2.61540,0.94540,2.80000,1.28000,1
debt,1.71430,0.13570,1.62500,0.04500,1.80000,0.28000,1
debts,1.83330,0.01670,1.42860,0.24140,1.40000,0.12000,1
debut,1.71430,0.13570,1.62500,0.04500,1.40000,0.12000,1
decade,1.92310,0.07310,1.35710,0.31290,1.00000,0.52000,1
decades,1.71430,0.13570,1.37500,0.29500,1.00000,0.52000,1
decay,1.50000,0.35000,1.88890,0.21890,2.60000,1.08000,1
deceased,1.62500,0.22500,1.44440,0.22560,2.80000,1.28000,1
december,1.85710,0.00710,1.50000,0.17000,2.80000,1.28000,1
decency,2.45450,0.60450,1.66670,0.00330,1.60000,0.08000,1
decent,2.20000,0.35000,1.90910,0.23910,1.60000,0.08000,1
decently,2.54550,0.69550,1.66670,0.00330,1.20000,0.32000,1
decide,2.11110,0.26110,2.20000,0.53000,1.40000,0.12000,1
decided,1.91670,0.06670,2.00000,0.33000,1.60000,0.08000,1
decides,2.10000,0.25000,2.36360,0.69360,1.20000,0.32000,1
deciding,2.22220,0.37220,2.40000,0.73000,1.40000,0.12000,1
decision,2.10000,0.25000,2.18180,0.51180,1.60000,0.08000,1
decisions,2.27270,0.42270,2.25000,0.58000,1.40000,0.12000,1
decisive,2.00000,0.15000,1.88890,0.21890,1.20000,0.32000,1
deck,1.88890,0.03890,1.40000,0.27000,2.80000,1.28000,1
declaration,2.00000,0.15000,2.00000,0.33000,1.80000,0.28000,1
declared,1.80000,0.05000,2.45450,0.78450,1.60000,0.08000,1
declares,2.09090,0.24090,2.50000,0.83000,1.20000,0.32000,1
declaring,2.10000,0.25000,2.36360,0.69360,1.20000,0.32000,1
decline,1.57140,0.27860,2.12500,0.45500,2.00000,0.48000,1
declined,1.50000,0.35000,1.77780,0.10780,1.80000,0.28000,1
decrease,1.75000,0.10000,1.88890,0.21890,2.40000,0.88000,1
dedicated,2.28570,0.43570,2.12500,0.45500,1.80000,0.28000,1
dedication,2.54550,0.69550,1.91670,0.24670,1.60000,0.08000,1
deduction,1.85710,0.00710,1.87500,0.20500,1.60000,0.08000,1
deductions,1.87500,0.02500,1.66670,0.00330,1.60000,0.08000,1
deemed,1.66670,0.18330,1.55560,0.11440,1.00000,0.52000,1
deep,2.00000,0.15000,1.44440,0.22560,3.00000,1.48000,1
deeper,2.09090,0.24090,1.66670,0.00330,2.80000,1.28000,1
deepest,2.18180,0.33180,1.33330,0.33670,2.80000,1.28000,1
deeply,2.00000,0.15000,1.40000,0.27000,2.20000,0.68000,1
deer,1.77780,0.07220,1.80000,0.13000,3.00000,1.48000,1
defeat,1.50000,0.35000,2.44440,0.77440,2.60000,1.08000,1
defeated,1.50000,0.35000,2.33330,0.66330,2.40000,0.88000,1
defects,1.71430,0.13570,1.62500,0.04500,2.20000,0.68000,1
defend,2.00000,0.15000,2.60000,0.93000,2.40000,0.88000,1
defendants,1.66670,0.18330,1.70000,0.03000,2.60000,1.08000,1
defended,2.11110,0.26110,2.00000,0.33000,2.00000,0.48000,1
defending,1.80000,0.05000,2.40000,0.73000,2.00000,0.48000,1
defense,1.62500,0.22500,2.22220,0.55220,2.00000,0.48000,1
defenses,1.85710,0.00710,1.87500,0.20500,2.00000,0.48000,1
defensive,2.00000,0.15000,2.28570,0.61570,2.00000,0.48000,1
deficiencies,1.45450,0.39550,1.25000,0.42000,1.00000,0.52000,1
deficiency,1.44440,0.40560,1.30000,0.37000,1.20000,0.32000,1
deficit,1.33330,0.51670,1.40000,0.27000,1.20000,0.32000,1
defiling,1.50000,0.35000,1.55560,0.11440,1.20000,0.32000,1
define,1.91670,0.06670,1.76920,0.09920,1.20000,0.32000,1
defined,1.75000,0.10000,1.66670,0.00330,1.20000,0.32000,1
defining,1.91670,0.06670,2.15380,0.48380,1.00000,0.52000,1
definite,1.55560,0.29440,1.70000,0.03000,1.20000,0.32000,1
definitely,2.00000,0.15000,1.55560,0.11440,1.20000,0.32000,1
definition,1.75000,0.10000,1.84620,0.17620,1.20000,0.32000,1
deflated,1.50000,0.35000,1.66670,0.00330,2.60000,1.08000,1
degraded,1.62500,0.22500,2.00000,0.33000,1.20000,0.32000,1
degrades,1.80000,0.05000,2.36360,0.69360,1.00000,0.52000,1
degree,2.10000,0.25000,2.00000,0.33000,2.20000,0.68000,1
degrees,1.91670,0.06670,1.92310,0.25310,2.00000,0.48000,1
dejected,1.66670,0.18330,1.60000,0.07000,1.20000,0.32000,1
delay,1.36360,0.48640,1.33330,0.33670,1.60000,0.08000,1
delayed,1.66670,0.18330,1.50000,0.17000,1.60000,0.08000,1
delegates,1.77780,0.07220,1.80000,0.13000,1.80000,0.28000,1
delegation,1.83330,0.01670,1.71430,0.04430,1.60000,0.08000,1
deliberate,1.63640,0.21360,2.08330,0.41330,1.40000,0.12000,1
deliberately,1.75000,0.10000,2.00000,0.33000,1.20000,0.32000,1
delicate,2.25000,0.40000,1.33330,0.33670,2.80000,1.28000,1
delight,2.37500,0.52500,2.22220,0.55220,2.40000,0.88000,1
delighted,2.41670,0.56670,2.46150,0.79150,2.20000,0.68000,1
delightful,2.54550,0.69550,2.16670,0.49670,2.00000,0.48000,1
delirious,1.77780,0.07220,2.50000,0.83000,2.40000,0.88000,1
deliver,2.00000,0.15000,2.20000,0.53000,2.80000,1.28000,1
delivered,2.12500,0.27500,2.33330,0.66330,2.00000,0.48000,1
delivery,2.18180,0.33180,2.50000,0.83000,2.40000,0.88000,1
demand,1.75000,0.10000,2.44440,0.77440,2.40000,0.88000,1
demanded,1.77780,0.07220,2.50000,0.83000,1.60000,0.08000,1
demanding,1.54550,0.30450,2.75000,1.08000,1.80000,0.28000,1
demands,1.55560,0.29440,2.40000,0.73000,1.40000,0.12000,1
democrat,1.60000,0.25000,1.54550,0.12450,2.00000,0.48000,1
democratic,1.87500,0.02500,1.55560,0.11440,1.60000,0.08000,1
democrats,1.57140,0.27860,1.50000,0.17000,2.40000,0.88000,1
demographic,1.90000,0.05000,1.54550,0.12450,1.00000,0.52000,1
demonstrate,1.81820,0.03180,2.25000,0.58000,2.20000,0.68000,1
demonstrated,1.77780,0.07220,2.00000,0.33000,1.60000,0.08000,1
demonstration,1.80000,0.05000,2.18180,0.51180,2.80000,1.28000,1
denial,1.36360,0.48640,1.91670,0.24670,1.20000,0.32000,1
denied,1.45450,0.39550,1.91670,0.24670,1.20000,0.32000,1
denominations,1.66670,0.18330,1.40000,0.27000,1.00000,0.52000,1
density,1.77780,0.07220,1.40000,0.27000,2.20000,0.68000,1
dental,1.63640,0.21360,1.91670,0.24670,3.00000,1.48000,1
dentist,1.83330,0.01670,2.14290,0.47290,3.00000,1.48000,1
denver,2.08330,0.23330,1.46150,0.20850,2.00000,0.48000,1
deny,1.66670,0.18330,1.70000,0.03000,1.40000,0.12000,1
denying,1.44440,0.40560,2.10000,0.43000,1.40000,0.12000,1
departing,1.44440,0.40560,2.30000,0.63000,2.00000,0.48000,1
department,1.77780,0.07220,1.70000,0.03000,2.40000,0.88000,1
department�s,0.00000,1.85000,0.00000,1.67000,0.00000,1.52000,0
departments,1.75000,0.10000,1.69230,0.02230,2.40000,0.88000,1
departure,1.85710,0.00710,2.00000,0.33000,1.80000,0.28000,1
depend,1.66670,0.18330,1.57140,0.09860,1.40000,0.12000,1
dependence,1.57140,0.27860,2.00000,0.33000,1.20000,0.32000,1
dependent,1.69230,0.15770,1.50000,0.17000,1.20000,0.32000,1
depending,1.85710,0.00710,1.87500,0.20500,1.00000,0.52000,1
depends,1.66670,0.18330,2.00000,0.33000,1.00000,0.52000,1
deposited,2.00000,0.15000,2.11110,0.44110,2.40000,0.88000,1
depot,1.71430,0.13570,1.12500,0.54500,1.60000,0.08000,1
depreciation,1.54550,0.30450,1.66670,0.00330,1.00000,0.52000,1
depressed,1.54550,0.30450,1.83330,0.16330,2.80000,1.28000,1
depression,1.54550,0.30450,1.50000,0.17000,2.40000,0.88000,1
depth,1.88890,0.03890,1.60000,0.07000,2.40000,0.88000,1
depths,2.00000,0.15000,1.33330,0.33670,1.80000,0.28000,1
deputies,1.70000,0.15000,1.72730,0.05730,2.60000,1.08000,1
deputy,1.66670,0.18330,1.60000,0.07000,2.80000,1.28000,1
derive,1.90000,0.05000,1.90910,0.23910,1.20000,0.32000,1
derived,2.09090,0.24090,1.83330,0.16330,1.20000,0.32000,1
descending,1.75000,0.10000,2.33330,0.66330,2.20000,0.68000,1
descent,2.00000,0.15000,2.10000,0.43000,1.60000,0.08000,1
describe,1.77780,0.07220,2.10000,0.43000,1.20000,0.32000,1
described,1.90000,0.05000,2.09090,0.42090,1.20000,0.32000,1
describes,2.09090,0.24090,2.16670,0.49670,1.20000,0.32000,1
describing,2.10000,0.25000,2.36360,0.69360,1.20000,0.32000,1
description,1.71430,0.13570,1.50000,0.17000,1.20000,0.32000,1
descriptions,2.00000,0.15000,1.44440,0.22560,1.00000,0.52000,1
desegregation,2.12500,0.27500,1.77780,0.10780,1.40000,0.12000,1
desert,2.00000,0.15000,1.75000,0.08000,2.80000,1.28000,1
deserted,1.45450,0.39550,1.58330,0.08670,2.40000,0.88000,1
deserve,2.00000,0.15000,1.75000,0.08000,1.40000,0.12000,1
deserved,2.00000,0.15000,1.88890,0.21890,1.20000,0.32000,1
deserves,2.11110,0.26110,1.70000,0.03000,1.20000,0.32000,1
design,2.00000,0.15000,1.66670,0.00330,2.80000,1.28000,1
designated,2.09090,0.24090,1.91670,0.24670,1.60000,0.08000,1
designed,1.90910,0.05910,2.00000,0.33000,1.40000,0.12000,1
designer,2.11110,0.26110,1.70000,0.03000,2.60000,1.08000,1
designers,1.87500,0.02500,1.77780,0.10780,2.40000,0.88000,1
designs,2.00000,0.15000,1.77780,0.10780,2.60000,1.08000,1
desirable,2.37500,0.52500,2.00000,0.33000,2.40000,0.88000,1
desire,2.14290,0.29290,2.37500,0.70500,1.60000,0.08000,1
desired,2.50000,0.65000,2.46670,0.79670,1.40000,0.12000,1
desires,2.40000,0.55000,2.18180,0.51180,1.60000,0.08000,1
desk,1.77780,0.07220,1.30000,0.37000,3.00000,1.48000,1
despair,1.50000,0.35000,1.90910,0.23910,1.60000,0.08000,1
desperate,1.50000,0.35000,2.22220,0.55220,2.00000,0.48000,1
desperately,1.71430,0.13570,2.25000,0.58000,1.40000,0.12000,1
despite,1.66670,0.18330,1.14290,0.52710,1.00000,0.52000,1
destiny,2.45450,0.60450,1.91670,0.24670,1.60000,0.08000,1
destroy,1.40000,0.45000,2.27270,0.60270,2.80000,1.28000,1
destroyed,1.44440,0.40560,2.40000,0.73000,2.40000,0.88000,1
destroying,1.50000,0.35000,2.33330,0.66330,2.40000,0.88000,1
destruction,1.50000,0.35000,2.69230,1.02230,2.60000,1.08000,1
destructive,1.57140,0.27860,2.37500,0.70500,2.00000,0.48000,1
detached,1.63640,0.21360,1.83330,0.16330,1.60000,0.08000,1
detail,1.88890,0.03890,1.40000,0.27000,1.60000,0.08000,1
detailed,1.87500,0.02500,1.55560,0.11440,1.60000,0.08000,1
details,1.75000,0.10000,1.53850,0.13150,1.40000,0.12000,1
detect,1.75000,0.10000,2.11110,0.44110,1.00000,0.52000,1
detected,1.37500,0.47500,2.22220,0.55220,1.00000,0.52000,1
detection,1.60000,0.25000,2.18180,0.51180,1.00000,0.52000,1
detective,1.80000,0.05000,1.90910,0.23910,2.80000,1.28000,1
detectives,1.91670,0.06670,2.07690,0.40690,3.00000,1.48000,1
detergent,2.00000,0.15000,1.30000,0.37000,3.00000,1.48000,1
determination,2.36360,0.51360,2.50000,0.83000,1.60000,0.08000,1
determine,2.11110,0.26110,2.00000,0.33000,1.00000,0.52000,1
determined,2.33330,0.48330,2.30000,0.63000,1.60000,0.08000,1
determines,1.66670,0.18330,2.28570,0.61570,1.40000,0.12000,1
determining,1.90910,0.05910,2.16670,0.49670,1.00000,0.52000,1
detroit,1.62500,0.22500,1.25000,0.42000,3.00000,1.48000,1
develop,2.00000,0.15000,2.11110,0.44110,1.00000,0.52000,1
developed,1.87500,0.02500,1.88890,0.21890,1.60000,0.08000,1
developing,2.41670,0.56670,2.61540,0.94540,1.40000,0.12000,1
development,2.36360,0.51360,2.66670,0.99670,1.40000,0.12000,1
developments,2.22220,0.37220,2.20000,0.53000,1.60000,0.08000,1
develops,1.88890,0.03890,2.20000,0.53000,1.40000,0.12000,1
deviation,1.50000,0.35000,2.11110,0.44110,1.00000,0.52000,1
device,1.90910,0.05910,1.50000,0.17000,2.60000,1.08000,1
devices,1.75000,0.10000,1.44440,0.22560,2.60000,1.08000,1
devil,1.44440,0.40560,1.90000,0.23000,3.00000,1.48000,1
devilish,1.63640,0.21360,2.33330,0.66330,2.20000,0.68000,1
devised,1.66670,0.18330,1.70000,0.03000,1.00000,0.52000,1
devote,2.10000,0.25000,2.27270,0.60270,1.00000,0.52000,1
devoted,2.00000,0.15000,2.11110,0.44110,1.00000,0.52000,1
devoting,1.85710,0.00710,2.37500,0.70500,1.00000,0.52000,1
devotion,2.30000,0.45000,1.90910,0.23910,1.20000,0.32000,1
diagnosis,1.81820,0.03180,2.00000,0.33000,1.80000,0.28000,1
diagnostic,1.66670,0.18330,1.60000,0.07000,1.00000,0.52000,1
diagram,1.77780,0.07220,1.60000,0.07000,3.00000,1.48000,1
dial,1.90910,0.05910,1.91670,0.24670,3.00000,1.48000,1
dialled,1.90910,0.05910,2.08330,0.41330,1.60000,0.08000,1
dialogue,2.10000,0.25000,2.36360,0.69360,2.80000,1.28000,1
diameter,1.88890,0.03890,1.40000,0.27000,2.00000,0.48000,1
dice,1.90910,0.05910,1.66670,0.00330,3.00000,1.48000,1
dictatorship,1.83330,0.01670,2.00000,0.33000,1.60000,0.08000,1
dictionary,1.91670,0.06670,1.46150,0.20850,3.00000,1.48000,1
did,1.77780,0.07220,1.90000,0.23000,1.00000,0.52000,1
didn�t,0.00000,1.85000,0.00000,1.67000,0.00000,1.52000,0
die,1.44440,0.40560,2.00000,0.33000,2.60000,1.08000,1
died,1.44440,0.40560,1.70000,0.03000,2.80000,1.28000,1
dies,1.50000,0.35000,1.76920,0.09920,2.60000,1.08000,1
diet,1.69230,0.15770,1.92860,0.25860,2.40000,0.88000,1
dieting,1.42860,0.42140,2.37500,0.70500,2.20000,0.68000,1
differ,1.66670,0.18330,1.42860,0.24140,1.00000,0.52000,1
differed,1.62500,0.22500,1.88890,0.21890,1.00000,0.52000,1
difference,1.61540,0.23460,1.78570,0.11570,1.20000,0.32000,1
differences,2.00000,0.15000,1.50000,0.17000,1.40000,0.12000,1
different,1.88890,0.03890,1.70000,0.03000,1.40000,0.12000,1
differential,1.75000,0.10000,1.44440,0.22560,1.20000,0.32000,1
differently,1.57140,0.27860,1.25000,0.42000,1.00000,0.52000,1
differs,1.90910,0.05910,1.66670,0.00330,1.00000,0.52000,1
difficult,1.36360,0.48640,1.75000,0.08000,1.40000,0.12000,1
difficulties,1.36360,0.48640,1.58330,0.08670,1.00000,0.52000,1
difficulty,1.55560,0.29440,1.80000,0.13000,1.40000,0.12000,1
diffusion,1.81820,0.03180,1.91670,0.24670,1.40000,0.12000,1
dig,1.81820,0.03180,2.50000,0.83000,2.80000,1.28000,1
dignity,2.22220,0.37220,2.00000,0.33000,1.00000,0.52000,1
dilemma,1.50000,0.35000,2.27270,0.60270,1.20000,0.32000,1
diligent,2.18180,0.33180,1.75000,0.08000,1.20000,0.32000,1
dill,1.62500,0.22500,1.11110,0.55890,2.00000,0.48000,1
dim,1.55560,0.29440,1.20000,0.47000,2.40000,0.88000,1
dimension,1.88890,0.03890,1.70000,0.03000,1.60000,0.08000,1
dimensional,1.90910,0.05910,1.66670,0.00330,1.60000,0.08000,1
dimensions,1.90000,0.05000,1.81820,0.14820,1.40000,0.12000,1
diminished,1.50000,0.35000,1.45450,0.21550,1.60000,0.08000,1
dimly,1.57140,0.27860,1.37500,0.29500,1.60000,0.08000,1
dimmed,1.62500,0.22500,1.22220,0.44780,2.40000,0.88000,1
din,1.62500,0.22500,1.88890,0.21890,1.40000,0.12000,1
dining,1.85710,0.00710,2.12500,0.45500,2.60000,1.08000,1
dinner,2.00000,0.15000,1.91670,0.24670,2.80000,1.28000,1
diplomacy,2.14290,0.29290,1.87500,0.20500,1.20000,0.32000,1
diplomatic,2.12500,0.27500,1.88890,0.21890,1.60000,0.08000,1
dire,1.55560,0.29440,2.00000,0.33000,1.00000,0.52000,1
direct,1.87500,0.02500,1.44440,0.22560,1.00000,0.52000,1
directed,2.00000,0.15000,1.83330,0.16330,1.40000,0.12000,1
direction,2.09090,0.24090,1.91670,0.24670,1.60000,0.08000,1
directions,1.88890,0.03890,1.60000,0.07000,2.40000,0.88000,1
directly,1.75000,0.10000,1.66670,0.00330,1.00000,0.52000,1
director,1.71430,0.13570,1.62500,0.04500,2.60000,1.08000,1
directors,1.75000,0.10000,1.77780,0.10780,2.60000,1.08000,1
dirt,1.71430,0.13570,1.50000,0.17000,3.00000,1.48000,1
dirty,1.35710,0.49290,1.93330,0.26330,3.00000,1.48000,1
disabled,1.50000,0.35000,1.54550,0.12450,2.80000,1.28000,1
disagreement,1.66670,0.18330,2.30000,0.63000,1.80000,0.28000,1
disappear,1.40000,0.45000,1.90910,0.23910,2.00000,0.48000,1
disappeared,1.62500,0.22500,1.77780,0.10780,1.80000,0.28000,1
disappointed,1.71430,0.13570,1.75000,0.08000,1.80000,0.28000,1
disappointment,1.66670,0.18330,1.85710,0.18710,1.40000,0.12000,1
disapproval,1.36360,0.48640,1.83330,0.16330,1.60000,0.08000,1
disarmament,2.00000,0.15000,2.09090,0.42090,1.20000,0.32000,1
disaster,1.33330,0.51670,2.50000,0.83000,2.80000,1.28000,1
disastrous,1.44440,0.40560,2.40000,0.73000,2.00000,0.48000,1
discharge,1.33330,0.51670,2.23080,0.56080,1.00000,0.52000,1
discipline,1.71430,0.13570,2.12500,0.45500,1.40000,0.12000,1
disciplined,1.63640,0.21360,2.16670,0.49670,1.20000,0.32000,1
disclosed,1.44440,0.40560,1.50000,0.17000,1.00000,0.52000,1
disclosing,1.50000,0.35000,1.88890,0.21890,1.00000,0.52000,1
discount,2.07690,0.22690,1.50000,0.17000,1.40000,0.12000,1
discouraged,1.62500,0.22500,1.55560,0.11440,2.00000,0.48000,1
discourse,1.62500,0.22500,1.55560,0.11440,1.00000,0.52000,1
discover,2.30000,0.45000,2.27270,0.60270,1.80000,0.28000,1
discovered,2.40000,0.55000,2.09090,0.42090,1.80000,0.28000,1
discoveries,2.41670,0.56670,2.61540,0.94540,1.20000,0.32000,1
discovery,2.55560,0.70560,2.88890,1.21890,1.20000,0.32000,1
discrepancy,1.18180,0.66820,1.81820,0.14820,1.00000,0.52000,1
discrete,1.55560,0.29440,1.77780,0.10780,1.20000,0.32000,1
discretion,2.11110,0.26110,1.50000,0.17000,1.20000,0.32000,1
discrimination,1.16670,0.68330,2.00000,0.33000,1.80000,0.28000,1
discuss,2.18180,0.33180,2.63640,0.96640,2.00000,0.48000,1
discussed,2.00000,0.15000,2.37500,0.70500,1.60000,0.08000,1
discussing,1.75000,0.10000,2.50000,0.83000,2.20000,0.68000,1
