word,Pleasantness,P_Deviation,Activation,A_Deviation,Imagery,I_Deviation,Words found from dictionary
action,2.00000,0.15000,2.88890,1.21890,2.60000,1.08000,1
actions,2.33330,0.48330,2.91670,1.24670,2.20000,0.68000,1
active,2.40000,0.55000,2.62500,0.95500,3.00000,1.48000,1
actively,2.42860,0.57860,2.40000,0.73000,2.00000,0.48000,1
activist,2.20000,0.35000,2.37500,0.70500,2.60000,1.08000,1
activities,2.33330,0.48330,2.41670,0.74670,2.60000,1.08000,1
activity,2.66670,0.81670,2.44440,0.77440,2.80000,1.28000,1
actor,2.40000,0.55000,2.00000,0.33000,3.00000,1.48000,1
actor's,2.10000,0.25000,2.30770,0.63770,2.00000,0.48000,1
actors,1.83330,0.01670,2.33330,0.66330,2.60000,1.08000,1
acts,2.16670,0.31670,2.44440,0.77440,2.20000,0.68000,1
actual,2.00000,0.15000,1.25000,0.42000,1.60000,0.08000,1
actually,1.66670,0.18330,1.44440,0.22560,1.60000,0.08000,1
acute,1.30000,0.55000,1.84620,0.17620,2.40000,0.88000,1
ad,2.16670,0.31670,1.44440,0.22560,2.60000,1.08000,1
adaptation,1.57140,0.27860,2.20000,0.53000,2.20000,0.68000,1
adapted,2.00000,0.15000,2.00000,0.33000,2.20000,0.68000,1
add,2.00000,0.15000,1.77780,0.10780,1.80000,0.28000,1
added,2.00000,0.15000,1.66670,0.00330,2.00000,0.48000,1
adding,2.14290,0.29290,1.90000,0.23000,2.00000,0.48000,1
addition,1.60000,0.25000,1.37500,0.29500,2.40000,0.88000,1
additional,1.83330,0.01670,1.44440,0.22560,1.60000,0.08000,1
addled,1.80000,0.05000,1.37500,0.29500,1.20000,0.32000,1
address,1.87500,0.02500,1.63640,0.03360,2.80000,1.28000,1
addressed,1.87500,0.02500,1.63640,0.03360,1.80000,0.28000,1
addresses,1.71430,0.13570,1.40000,0.27000,2.00000,0.48000,1
adds,2.20000,0.35000,1.50000,0.17000,2.20000,0.68000,1
adequate,2.20000,0.35000,1.50000,0.17000,1.60000,0.08000,1
adequately,2.00000,0.15000,1.60000,0.07000,1.40000,0.12000,1
adjacent,1.71430,0.13570,1.40000,0.27000,2.40000,0.88000,1
adjoining,1.87500,0.02500,1.63640,0.03360,2.20000,0.68000,1
adjust,1.83330,0.01670,1.88890,0.21890,1.60000,0.08000,1
adjusted,2.28570,0.43570,1.80000,0.13000,2.20000,0.68000,1
adjusting,1.50000,0.35000,1.77780,0.10780,2.20000,0.68000,1
adjustment,1.60000,0.25000,2.00000,0.33000,2.00000,0.48000,1
adjustments,1.60000,0.25000,1.87500,0.20500,2.20000,0.68000,1
administered,1.20000,0.65000,1.62500,0.04500,2.00000,0.48000,1
administration,1.88890,0.03890,1.83330,0.16330,2.20000,0.68000,1
administrative,1.50000,0.35000,1.55560,0.11440,1.60000,0.08000,1
administrator,1.28570,0.56430,1.70000,0.03000,2.40000,0.88000,1
admirable,2.77780,0.92780,1.66670,0.00330,2.80000,1.28000,1
admiration,2.50000,0.65000,1.77780,0.10780,1.80000,0.28000,1
admire,1.90000,0.05000,1.60000,0.07000,2.80000,1.28000,1
admired,2.75000,0.90000,1.81820,0.14820,2.20000,0.68000,1
admission,2.00000,0.15000,1.63640,0.03360,2.00000,0.48000,1
admit,1.66670,0.18330,1.66670,0.00330,2.40000,0.88000,1
admitted,2.00000,0.15000,2.00000,0.33000,2.00000,0.48000,1
adolescence,1.80000,0.05000,1.87500,0.20500,2.80000,1.28000,1
adolescent,1.40000,0.45000,2.00000,0.33000,2.60000,1.08000,1
adopt,1.83330,0.01670,2.55560,0.88560,2.20000,0.68000,1
adopted,1.71430,0.13570,2.50000,0.83000,2.20000,0.68000,1
adopting,2.11110,0.26110,2.75000,1.08000,2.00000,0.48000,1
adoption,1.66670,0.18330,2.25000,0.58000,2.20000,0.68000,1
adoring,2.75000,0.90000,2.14290,0.47290,1.60000,0.08000,1
adrenaline,2.33330,0.48330,2.66670,0.99670,2.20000,0.68000,1
ads,2.25000,0.40000,1.14290,0.52710,2.00000,0.48000,1
adult,2.40000,0.55000,2.07690,0.40690,2.80000,1.28000,1
adults,1.80000,0.05000,1.87500,0.20500,2.60000,1.08000,1
advance,2.25000,0.40000,1.71430,0.04430,2.00000,0.48000,1
advanced,2.42860,0.57860,1.70000,0.03000,2.00000,0.48000,1
advancement,2.33330,0.48330,1.77780,0.10780,1.60000,0.08000,1
advances,2.50000,0.65000,2.18180,0.51180,2.40000,0.88000,1
advantage,2.57140,0.72140,2.10000,0.43000,2.20000,0.68000,1
advantages,2.50000,0.65000,2.09090,0.42090,1.60000,0.08000,1
adventure,2.83330,0.98330,3.00000,1.33000,2.60000,1.08000,1
adventures,2.66670,0.81670,2.83330,1.16330,2.40000,0.88000,1
adverse,1.40000,0.45000,1.62500,0.04500,1.20000,0.32000,1
advertising,2.00000,0.15000,2.00000,0.33000,2.80000,1.28000,1
advice,2.50000,0.65000,1.90910,0.23910,2.40000,0.88000,1
advise,2.33330,0.48330,1.58330,0.08670,2.40000,0.88000,1
advised,2.00000,0.15000,2.10000,0.43000,2.00000,0.48000,1
advisee,2.00000,0.15000,1.60000,0.07000,2.20000,0.68000,1
advisers,2.00000,0.15000,1.72730,0.05730,2.40000,0.88000,1
advisory,1.57140,0.27860,1.70000,0.03000,1.20000,0.32000,1
advocate,2.25000,0.40000,2.00000,0.33000,1.80000,0.28000,1
aesthetic,2.16670,0.31670,1.33330,0.33670,1.20000,0.32000,1
affair,1.25000,0.60000,2.28570,0.61570,2.40000,0.88000,1
affairs,1.16670,0.68330,2.33330,0.66330,2.40000,0.88000,1
affect,1.75000,0.10000,1.85710,0.18710,1.60000,0.08000,1
affected,2.00000,0.15000,1.57140,0.09860,1.80000,0.28000,1
affection,2.77780,0.92780,2.25000,0.58000,2.00000,0.48000,1
affects,2.00000,0.15000,1.90000,0.23000,1.40000,0.12000,1
affirm,2.00000,0.15000,1.85710,0.18710,1.60000,0.08000,1
affixed,1.71430,0.13570,1.40000,0.27000,1.40000,0.12000,1
affliction,1.40000,0.45000,1.62500,0.04500,1.60000,0.08000,1
afford,2.37500,0.52500,1.90910,0.23910,1.80000,0.28000,1
afforded,1.75000,0.10000,1.71430,0.04430,1.80000,0.28000,1
afraid,1.00000,0.85000,2.37500,0.70500,2.60000,1.08000,1
africa,2.14290,0.29290,1.60000,0.07000,3.00000,1.48000,1
african,2.00000,0.15000,1.37500,0.29500,3.00000,1.48000,1
after,1.80000,0.05000,1.25000,0.42000,1.40000,0.12000,1
after-thought,1.75000,0.10000,1.42860,0.24140,1.40000,0.12000,1
afternoon,2.45450,0.60450,1.42860,0.24140,2.80000,1.28000,1
afternoons,2.33330,0.48330,1.55560,0.11440,2.80000,1.28000,1
afterward,2.16670,0.31670,1.33330,0.33670,1.40000,0.12000,1
afterwards,1.87500,0.02500,1.36360,0.30640,1.40000,0.12000,1
again,1.80000,0.05000,1.50000,0.17000,1.40000,0.12000,1
against,1.14290,0.70710,1.30000,0.37000,2.00000,0.48000,1
age,1.80000,0.05000,1.87500,0.20500,2.00000,0.48000,1
aged,1.50000,0.35000,1.72730,0.05730,2.20000,0.68000,1
agencies,1.83330,0.01670,1.55560,0.11440,2.00000,0.48000,1
agency,1.75000,0.10000,1.81820,0.14820,2.20000,0.68000,1
agent,1.60000,0.25000,1.25000,0.42000,2.80000,1.28000,1
agents,1.42860,0.42140,1.40000,0.27000,2.20000,0.68000,1
ages,1.60000,0.25000,1.62500,0.04500,1.20000,0.32000,1
aggravate,1.11110,0.73890,2.41670,0.74670,2.00000,0.48000,1
aggravating,1.00000,0.85000,2.22220,0.55220,2.00000,0.48000,1
aggression,1.00000,0.85000,2.25000,0.58000,1.60000,0.08000,1
aggressive,1.20000,0.65000,2.69230,1.02230,2.20000,0.68000,1
aghast,1.00000,0.85000,1.77780,0.10780,1.20000,0.32000,1
agitated,1.33330,0.51670,2.22220,0.55220,2.20000,0.68000,1
ago,1.60000,0.25000,1.14290,0.52710,1.00000,0.52000,1
agree,2.66670,0.81670,1.88890,0.21890,2.00000,0.48000,1
agreeable,2.70000,0.85000,2.07690,0.40690,2.00000,0.48000,1
agreed,2.66670,0.81670,1.77780,0.10780,1.20000,0.32000,1
agreement,2.57140,0.72140,2.00000,0.33000,2.40000,0.88000,1
agreements,2.16670,0.31670,1.66670,0.00330,2.00000,0.48000,1
